Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,American Samoa,ASM,0.999109983,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Antigua and Barbuda,ATG,..,..,..,0.974340022,0.990040004,..,0.979359984,0.97924,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Argentina,ARG,..,1.015869975,1.03136003,1.031229973,1.028380036,1.020810008,1.019629955,1.021319985,1.020560026,1.024260044,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Armenia,ARM,..,1.071140051,1.02907002,1.040339947,1.037989974,..,..,1.022830009,1.03489995,1.031909943,1.021299958,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Aruba,ABW,..,0.992659986,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Australia,AUS,..,..,..,..,0.925260007,0.925170004,0.937539995,0.968850017,0.964070022,0.979290009,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Austria,AUT,0.940590024,0.969690025,0.972970009,0.97232002,0.972829998,0.971989989,0.971729994,0.97408998,0.980939984,0.98593998,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,1.002619982,1.010730028,1.005149961,0.993879974,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bahrain,BHR,1.027819991,1.029690027,1.014459968,1.009189963,1.002130032,1.014940023,1.013990045,1.021550059,1.037700057,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bangladesh,BGD,0.753639996,..,..,..,..,..,1.10079968,1.103870988,..,1.145879984,1.135454297,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Barbados,BRB,0.951020002,1.006950021,..,1.016250014,1.013700008,1.022210002,1.002079964,0.999639988,0.998679996,1.000079989,0.998489976,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Belarus,BLR,..,..,0.984350026,0.988839984,0.991069973,0.99101001,0.988579988,0.990570009,0.992380023,0.991100013,0.992770016,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Belgium,BEL,1.016890049,1.057279944,1.082190037,1.079849958,1.080549955,1.069659948,1.070240021,1.07336998,1.079130054,1.08149004,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Belize,BLZ,..,0.984929979,0.989560008,0.990170002,0.982169986,0.977970004,0.992389977,0.987559974,0.98872,0.990760028,0.988839984,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Benin,BEN,..,0.633329988,0.834890008,0.847899973,0.859269977,0.877080023,..,..,..,0.890009999,0.897289991,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bermuda,BMU,..,..,1.066409945,1.053040028,1.048499942,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bhutan,BTN,..,0.857159972,1.038370013,1.04076004,1.035249949,1.048089981,1.049270034,1.058220029,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bolivia,BOL,..,0.965309978,0.986109972,0.983799994,0.982349992,0.982200027,0.983070016,0.984809995,0.988470018,0.994159997,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Botswana,BWA,1.051659942,1.018190026,..,..,..,..,..,..,..,..,1.022549987,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Brazil,BRA,..,..,1.016649961,1.018110037,1.01473999,1.008540034,1.005130053,1.006680012,1.009909987,1.006489992,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,British Virgin Islands,VGB,0.987529993,1.028069973,0.998839974,1.0079,0.987879992,1.002689958,1.011809945,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Brunei Darussalam,BRN,..,0.982150018,1.019090056,1.010169983,0.998702049,1.014199972,1.014960051,1.01620996,1.021440029,1.018730044,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Bulgaria,BGR,0.991670012,0.976970017,0.966939986,0.974600017,0.975459993,0.976230025,0.980499983,0.976819992,0.985469997,0.983699977,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Burkina Faso,BFA,..,0.700230002,0.936890006,0.948300004,0.960349977,0.971310019,0.982140005,0.98913002,1.006510019,1.024809957,1.043991327,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Burundi,BDI,0.781930029,..,0.972280025,0.992950022,1.004040003,1.013820052,1.021489978,1.03429997,1.042940021,1.057250023,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cabo Verde,CPV,0.995090008,..,1.029049993,1.019909978,1.014520049,1.010139942,1.007290006,1.006999969,1.005689979,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cambodia,KHM,..,0.818300009,..,..,..,..,..,..,..,1.000290036,1.037672639,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cameroon,CMR,0.822260022,..,..,0.876999974,0.883459985,0.885640025,0.889527857,0.889680445,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Canada,CAN,1.000229955,1.010570049,1.006389976,1.008569956,1.00838995,1.008180022,1.005460024,1.003329992,1.001510024,1.002589941,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cayman Islands,CYM,..,0.997879982,1.019299984,..,..,..,..,0.987959981,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Central African Republic,CAF,0.596660018,..,..,..,..,0.760950029,0.743736446,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Chad,TCD,0.414909989,0.561860025,0.695349991,0.694100022,0.698719978,0.69907999,0.702009976,0.727490008,0.728309989,..,0.752399981,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Chile,CHL,1.007680058,0.995980024,0.989639997,0.989369988,0.988600016,0.98852998,0.987600029,0.985650003,0.982060015,0.979330003,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,China,CHN,0.848609984,..,1.006090045,1.00948,1.01157999,1.010139942,1.013219953,1.014310002,1.015290022,1.012869954,1.011610031,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Colombia,COL,..,1.038570046,1.028339982,1.024369955,1.021569967,1.019840002,1.014070034,1.013210058,1.011049986,1.006790042,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Comoros,COM,..,..,0.975329995,0.979789972,..,..,0.993130028,1.022899985,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Congo, Dem. Rep.",COD,..,..,0.827769995,0.828859985,0.889490008,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Congo, Rep.",COG,0.879750013,..,..,..,..,..,..,0.95229733,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Costa Rica,CRI,0.99476999,1.000609994,1.021389961,1.022119999,1.016720057,1.029410005,1.041030049,1.041360021,1.041319966,1.051570058,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cote d'Ivoire,CIV,..,..,0.79489702,0.807550013,0.818220019,0.833500028,0.85066998,0.867879987,0.884140015,0.898069978,0.915130019,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Croatia,HRV,..,1.010849953,1.024039984,1.023249984,1.031939983,1.032019973,1.032989979,1.032649994,1.038720012,1.039139986,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cuba,CUB,1.048460007,0.988499999,0.992250025,0.982819974,0.985199988,0.991129994,0.98496002,0.986819983,0.988439977,0.988740027,1.002460003,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Curacao,CUW,..,..,1.002519965,..,..,..,..,..,..,1.082039952,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Cyprus,CYP,1.010959983,1.011980057,1.003299952,1.004459977,0.996190012,0.994809985,0.992799997,0.983219981,0.981190026,0.981880009,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Czechia,CZE,0.941680014,1.010720015,1.004639983,1.00285995,1.007060051,1.007210016,1.006489992,1.004989982,1.007619977,1.006970048,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Denmark,DNK,1.014129996,1.023859978,1.00909996,1.016890049,1.018450022,1.009670019,1.002879977,0.999819994,0.995649993,0.996890008,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Djibouti,DJI,..,0.715020001,0.983290017,1.00177002,1.005810022,1.013970017,1.025500059,1.014449954,1.020020008,1.002869964,0.972949982,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Dominica,DMA,1.018450022,1.060449958,..,0.995760024,0.986060023,..,..,..,0.991909981,0.971989989,0.969980001,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Dominican Republic,DOM,..,1.040570021,0.988099992,0.985199988,0.98536998,0.990230024,0.99357003,0.997340024,1.005259991,1.008949995,1.02252996,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Ecuador,ECU,..,1.005749941,1.023949981,1.022670031,1.022459984,1.02094996,1.019950032,1.021919966,1.024019957,1.022969961,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Egypt, Arab Rep.",EGY,0.816320002,0.93283999,0.985740006,0.996010005,..,0.993189991,0.994140029,0.996510029,1.000650048,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,El Salvador,SLV,..,0.950020015,0.970470011,0.977069974,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Equatorial Guinea,GNQ,..,0.728950024,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Eritrea,ERI,..,0.784210026,0.936249971,0.836189985,0.855459988,..,0.874779999,0.878799975,0.884019017,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Estonia,EST,..,1.023290038,0.9921,0.993910015,0.997789979,1.00454998,1.01177001,1.015769958,1.021989942,1.02414,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Eswatini,SWZ,..,0.959219992,0.922500014,0.931620002,0.935450017,0.941690028,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Ethiopia,ETH,..,0.657270014,0.928791225,0.931964815,0.921459973,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Fiji,FJI,..,1.031090021,..,1.022516608,1.020750284,1.023260236,..,1.019707322,..,1.017095447,1.01689589,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Finland,FIN,1.087120056,1.048419952,1.054319978,1.056759953,1.057180047,1.057610035,1.05625999,1.057899952,1.051749945,1.05539,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,France,FRA,1.028370023,0.996110022,1.005679965,1.006850004,1.003419995,1.002500057,1.001940012,1.000800014,0.998740017,0.997049987,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,French Polynesia,PYF,1.102200031,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,1.01601541,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,1.153779984,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Georgia,GEO,..,1.024690032,1.008100033,1.01177001,1.014359951,1.010259986,1.010570049,1.012490034,1.00751996,1.007069945,1.005730033,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Germany,DEU,..,0.982500017,0.964460015,0.965309978,0.966109991,0.963729978,0.957650006,0.960990012,0.965369999,0.970099986,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Ghana,GHA,0.779609978,0.895910025,0.967050016,0.978120029,0.981519997,0.996119976,0.996869981,1.002220035,1.008170009,1.012359977,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Gibraltar,GIB,..,0.988080025,..,..,..,0.986190021,0.989499986,..,0.990459979,1.039980054,0.998589993,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Greece,GRC,0.986180007,1.030040026,0.973039985,0.964680016,0.959569991,0.965359986,0.97104001,0.975350022,0.976090014,0.980000019,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Grenada,GRD,..,..,0.961449981,0.980840027,0.971180022,0.991129994,0.98672998,1.004469991,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Guatemala,GTM,..,0.897010028,0.959980011,0.961950004,0.958909988,0.959710002,0.962559998,0.966359973,0.97183001,0.980570018,0.994180024,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Guinea,GIN,0.419270009,..,0.774895191,0.785929978,0.765342057,0.768221796,..,0.797581851,0.804893851,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Guinea-Bissau,GNB,..,0.644640028,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Hong Kong SAR, China",HKG,..,..,0.993939996,0.99425,0.998780012,1.002930045,1.004169941,1.007329941,1.01391995,1.015349984,1.019250035,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Hungary,HUN,1.003379941,0.998870015,1.00150001,1.001860023,1.00296998,0.993550003,0.999050021,0.994589984,0.99338001,0.989939988,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Iceland,ISL,..,1.02583003,1.018319964,1.014430046,1.003890038,1.001019955,0.995549977,0.994610012,0.987950027,0.985019982,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,India,IND,..,0.802240014,1.035693049,1.032517552,1.03027153,1.030451775,1.084020019,1.015334487,1.019774318,1.007327437,0.99164027,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Indonesia,IDN,0.930589974,0.970269978,0.984489977,0.982280016,0.985639989,0.995899975,0.993650019,0.993399978,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Iran, Islamic Rep.",IRN,0.818189979,0.933470011,0.976800025,0.995530009,1.005290031,1.018829942,1.01710999,..,..,1.030329943,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Iraq,IRQ,..,0.771420002,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Ireland,IRL,1.048390031,1.027959943,..,1.007410049,1.008460045,1.006909966,0.991919994,1.06024003,1.040079951,1.041730046,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Israel,ISR,1.044749975,0.995169997,1.01078999,1.009279966,1.008249998,1.012959957,1.012770057,1.012850046,1.014299989,1.013280034,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Italy,ITA,1.003309965,0.976189971,0.993749976,0.994589984,0.996529996,1.002699971,0.984040022,0.978990018,0.983399987,0.990440011,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Jamaica,JAM,..,1.009039998,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Japan,JPN,1.015020013,..,1.005599976,1.005380034,1.004559994,1.005270004,1.004529953,1.003450036,1.003409982,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Jordan,JOR,1.015730023,1.026550055,0.998369992,1.008790016,..,..,1.001449943,1.002239943,1.000130057,1.005429983,1.002189994,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kazakhstan,KAZ,..,1.034459949,1.012699962,1.015259981,1.020920038,1.01620996,1.012480021,1.012189984,1.01346004,0.999840021,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kenya,KEN,..,0.970409989,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kiribati,KIR,1.017060041,1.064499974,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Korea, Rep.",KOR,0.983640015,1.009610057,0.997399986,0.996720016,0.995540023,0.994819999,0.995310009,0.995530009,0.996420026,0.996420026,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kuwait,KWT,0.949000001,1.018159986,1.033120036,1.037310004,1.048840046,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Kyrgyz Republic,KGZ,1.012359977,1.014320016,1.000519991,1.000499964,1.004979968,0.994889975,0.995329976,0.996949971,0.993589997,0.998260021,1.000779986,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Lao PDR,LAO,0.771629989,0.809180021,0.914771438,0.927744091,0.937261164,0.938601553,0.944714487,0.948159754,0.951043487,0.956714571,0.963009,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Latvia,LVA,..,1.012210011,0.980449975,0.985889971,0.990239978,0.993120015,0.996100008,0.997439981,0.999930024,1.002959967,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Lesotho,LSO,1.228420019,1.060700059,1.049970031,1.050639987,1.045600057,1.043439984,1.045050025,1.041790009,1.044137716,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Liberia,LBR,..,0.73627001,..,0.876460016,0.863579988,..,..,..,..,0.988730013,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Liechtenstein,LIE,..,..,..,0.871039987,0.850310028,0.84750998,0.871800005,0.898109972,0.91298002,0.89665997,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Lithuania,LTU,..,0.992659986,0.966830015,0.969309986,0.970130026,0.968819976,0.971390009,0.975830019,0.976960003,0.983650029,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Luxembourg,LUX,..,1.034809947,1.016790032,1.013790011,1.020449996,1.016100049,1.009459972,1.000280023,0.99267,0.992569983,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Macao SAR, China",MAC,0.979770005,0.997189999,0.980000019,0.981440008,0.984610021,0.991119981,0.995079994,0.995320022,0.988330007,0.986519992,0.986339986,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Madagascar,MDG,0.955370009,..,..,0.989859998,0.993740022,0.996739984,..,1.009379983,1.018980026,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Malawi,MWI,0.809379995,0.90854001,0.990920007,0.992940009,0.996720016,0.997420013,1.011049986,1.001119971,0.98852998,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Malaysia,MYS,1.021880031,1.037479997,1.033110023,1.04203999,1.044669986,1.038820028,1.034540057,1.046519995,1.040380001,1.039510012,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Maldives,MDV,..,1.011289954,..,..,..,..,..,1.028460026,0.99188,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Mali,MLI,0.583769977,0.703769982,1.002293229,0.839339972,0.864260018,0.838020027,0.868219972,0.876399994,..,0.898059785,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Malta,MLT,0.958940029,0.990819991,1.01801002,1.026569963,1.040079951,1.031039953,1.000010014,1.00406003,1.005049944,1.004770041,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Marshall Islands,MHL,..,..,..,..,1.015650034,1.025670052,..,..,1.012809992,1.026309967,1.012060046,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Mauritania,MRT,0.667689979,0.92760998,1.021929979,1.021260023,1.020720005,1.03876996,1.050549984,1.046800017,1.06043005,1.069519997,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Mauritius,MUS,1.004050016,0.980929971,1.023030043,1.019279957,1.032019973,1.034229994,1.048079967,1.044059992,1.024670005,..,1.038050056,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Mexico,MEX,0.962310016,0.989459991,1.020799994,1.022830009,1.029829979,1.036380053,1.03918004,1.046270013,1.051910043,1.054100037,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Moldova,MDA,..,..,..,1.007449985,1.004780054,0.998650014,0.991569996,0.989199996,0.972779989,0.98961997,0.989910007,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Mongolia,MNG,..,1.116739988,..,..,..,..,..,..,0.992600024,0.999824345,0.998257816,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Montenegro,MNE,..,..,..,..,1.011270046,1.004649997,1.00782001,0.989380002,1.011240005,1.011890054,1.013630033,..
